Date,Price,Open,High,Low,Chg%
19-Jul-23,59790,59765,59878,59587,0.05%
18-Jul-23,59763,59215,59910,59215,1.06%
17-Jul-23,59135,59147,59269,58939,-0.31%
14-Jul-23,59316,59264,59379,59141,0.13%
13-Jul-23,59239,59230,59375,59122,0.09%
12-Jul-23,59188,58900,59248,58720,0.71%
11-Jul-23,58773,58661,58909,58600,0.14%
10-Jul-23,58689,58739,58739,58403,-0.18%
07-Jul-23,58792,58374,58949,58331,0.67%
06-Jul-23,58401,58638,58650,58120,-0.12%
05-Jul-23,58473,58410,58779,58366,0.11%
04-Jul-23,58409,58275,58545,58265,0.23%
03-Jul-23,58277,58154,58480,57971,0.11%
30-Jun-23,58211,57980,58305,57792,0.34%
29-Jun-23,58014,58000,58140,57651,-0.11%
28-Jun-23,58078,58176,58198,57880,-0.05%
27-Jun-23,58107,58493,58549,58069,-0.52%
26-Jun-23,58412,58429,58670,58352,0.18%
23-Jun-23,58307,58136,58740,58096,0.19%
22-Jun-23,58196,58613,58663,58150,-0.88%
21-Jun-23,58714,58824,58865,58375,-0.16%
20-Jun-23,58809,59222,59392,58663,-0.59%
19-Jun-23,59157,59272,59370,59115,-0.33%
16-Jun-23,59354,59340,59555,59234,0.00%
15-Jun-23,59355,59210,59385,58661,0.10%
14-Jun-23,59298,59301,59465,59148,0.14%
13-Jun-23,59218,59755,59885,59184,-0.71%
12-Jun-23,59641,59713,59920,59505,-0.30%
09-Jun-23,59821,59934,60116,59727,-0.12%
08-Jun-23,59891,59528,60048,59425,0.65%
07-Jun-23,59503,59977,60098,59401,-0.80%
06-Jun-23,59985,59869,60074,59766,0.28%
05-Jun-23,59820,59500,59820,59419,0.12%
02-Jun-23,59750,60275,60350,59650,-0.28%
01-Jun-23,59919,60057,60271,59700,-0.41%
31-May-23,60163,59946,60350,59840,0.36%
30-May-23,59946,59401,60064,59225,0.89%
29-May-23,59419,59406,59631,59260,0.11%
26-May-23,59353,59542,59660,59225,-0.18%
25-May-23,59460,59700,59955,59363,-0.67%
24-May-23,59860,60196,60389,59725,-0.56%
23-May-23,60197,60000,60245,59739,-0.07%
22-May-23,60241,60245,60430,60111,-0.23%
19-May-23,60379,59766,60490,59721,1.10%
18-May-23,59723,60100,60153,59540,-0.70%
17-May-23,60145,60333,60445,59960,-0.16%
16-May-23,60244,61498,61498,60190,-1.28%
15-May-23,61027,60910,61138,60820,0.23%
12-May-23,60887,60795,61080,60525,-0.01%
11-May-23,60892,61279,61515,60825,-0.62%
10-May-23,61270,61270,61651,60976,-0.24%
09-May-23,61419,60910,61460,60905,0.81%
08-May-23,60927,60783,61090,60771,0.49%
05-May-23,60628,61566,61629,60250,-1.41%
04-May-23,61493,61200,61845,61053,0.87%
03-May-23,60965,60740,61022,60535,0.56%
02-May-23,60628,59755,60771,59700,1.45%
01-May-23,59764,59867,60328,59711,-0.26%
28-Apr-23,59919,59853,60050,59625,0.03%
27-Apr-23,59901,60150,60299,59547,0.01%
26-Apr-23,59893,60210,60428,59825,-0.61%
25-Apr-23,60261,60033,60320,59709,0.43%
24-Apr-23,60001,59865,60033,59587,0.26%
21-Apr-23,59845,60381,60476,59622,-1.09%
20-Apr-23,60503,60245,60689,60157,0.36%
19-Apr-23,60288,60448,60509,59653,-0.33%
18-Apr-23,60488,60229,60650,60111,0.51%
17-Apr-23,60180,60351,60625,59871,-0.25%
14-Apr-23,60329,61038,61170,60088,-1.48%
13-Apr-23,61238,60731,61371,60693,1.01%
12-Apr-23,60628,60779,61070,60360,0.20%
11-Apr-23,60505,60170,60599,60170,0.74%
10-Apr-23,60063,60402,60417,59912,-0.74%
06-Apr-23,60511,60679,60836,60330,-0.41%
05-Apr-23,60761,60779,60822,60569,0.23%
04-Apr-23,60620,61399,61399,59610,1.51%
03-Apr-23,59716,59200,59900,59040,0.53%
31-Mar-23,59402,59425,59650,59310,0.14%
30-Mar-23,59316,59000,59400,58850,0.64%
29-Mar-23,58941,58918,59074,58747,-0.17%
28-Mar-23,59042,58718,59232,58500,0.88%
27-Mar-23,58526,59300,59310,58405,-1.26%
24-Mar-23,59273,59490,59975,59190,-0.49%
23-Mar-23,59565,59231,59618,58930,1.38%
22-Mar-23,58756,58563,58810,58462,0.30%
21-Mar-23,58579,59594,59705,58534,-1.56%
20-Mar-23,59506,59418,60455,59232,0.21%
17-Mar-23,59383,58269,59461,58143,2.37%
16-Mar-23,58006,57955,58525,57845,-0.57%
15-Mar-23,58336,57380,58661,57068,1.48%
14-Mar-23,57483,57483,57738,57231,-0.28%
13-Mar-23,57642,56667,57680,56353,2.66%
10-Mar-23,56150,55325,56190,55270,1.54%
09-Mar-23,55301,54855,55401,54771,0.71%
08-Mar-23,54911,54935,55112,54850,-0.20%
07-Mar-23,55022,55700,55700,55000,-1.34%
06-Mar-23,55769,55878,55982,55751,0.09%
03-Mar-23,55721,55899,55899,55580,-0.03%
02-Mar-23,55739,55777,55925,55705,-0.16%
01-Mar-23,55830,55760,56020,55627,0.13%
28-Feb-23,55756,55402,55798,55132,0.50%
27-Feb-23,55476,55397,55497,55290,0.08%
24-Feb-23,55432,55707,55790,55380,-0.28%
23-Feb-23,55587,55954,56010,55511,-0.88%
22-Feb-23,56083,56169,56395,56027,-0.15%
21-Feb-23,56168,56191,56310,56003,-0.08%
20-Feb-23,56213,56209,56345,56188,-0.08%
17-Feb-23,56257,55975,56287,55691,0.05%
16-Feb-23,56228,56225,56279,55910,0.18%
15-Feb-23,56126,56666,56674,56078,-1.10%
14-Feb-23,56750,56611,56999,56478,0.45%
13-Feb-23,56497,56762,56920,56470,-0.43%
10-Feb-23,56741,56760,56865,56496,-0.20%
09-Feb-23,56852,57238,57419,56750,-0.63%
08-Feb-23,57215,57220,57384,56986,-0.07%
07-Feb-23,57257,57000,57380,56950,0.53%
06-Feb-23,56955,56638,57195,56638,-1.02%
03-Feb-23,57543,57865,58000,56801,-0.98%
02-Feb-23,58114,58826,58826,57700,0.28%
01-Feb-23,57952,57150,58099,57100,1.24%
31-Jan-23,57242,56860,57270,56620,0.81%
30-Jan-23,56782,56900,57149,56720,-0.13%
27-Jan-23,56857,56760,56985,56640,-0.18%
25-Jan-23,56962,56940,57021,56702,-0.01%
24-Jan-23,56969,56986,57125,56775,0.27%
23-Jan-23,56815,56751,56920,56514,0.28%
20-Jan-23,56658,56641,56850,56560,0.20%
19-Jan-23,56546,56305,56588,56245,0.46%
18-Jan-23,56286,56303,56550,56122,-0.12%
17-Jan-23,56352,56479,56521,56305,-0.23%
16-Jan-23,56482,56467,56562,56330,0.28%
13-Jan-23,56324,55915,56370,55900,0.80%
12-Jan-23,55875,55792,55990,55610,0.33%
11-Jan-23,55693,55819,55930,55522,-0.03%
10-Jan-23,55712,55920,55950,55640,-0.27%
09-Jan-23,55864,55800,56175,55800,0.22%
06-Jan-23,55743,55382,55790,55291,0.82%
05-Jan-23,55290,55794,55920,55051,-0.86%
04-Jan-23,55767,55620,56010,55620,0.43%
03-Jan-23,55530,55280,55800,55280,0.64%
02-Jan-23,55178,55052,55200,55040,0.29%
01-Jan-23,54903,54749,54860,54733,0.31%
30-Dec-22,55017,54975,55125,54860,0.08%
29-Dec-22,54971,54720,55018,54672,0.38%
28-Dec-22,54761,54923,54950,54530,-0.43%
27-Dec-22,54997,54764,55365,54692,0.59%
26-Dec-22,54677,54525,54748,54520,0.19%
23-Dec-22,54574,54517,54745,54441,0.10%
22-Dec-22,54521,55069,55117,54445,-1.00%
21-Dec-22,55071,54900,55220,54863,0.32%
20-Dec-22,54898,54429,54995,54350,1.18%
19-Dec-22,54260,54354,54490,54182,-0.07%
16-Dec-22,54300,54157,54414,54005,0.36%
15-Dec-22,54107,54481,54481,53882,-1.04%
14-Dec-22,54674,54770,54890,54580,-0.13%
13-Dec-22,54743,54132,55047,54132,1.13%
12-Dec-22,54132,54109,54294,54061,-0.30%
09-Dec-22,54295,54262,54400,54030,0.45%
08-Dec-22,54051,53999,54201,53937,0.12%
07-Dec-22,53987,53810,54033,53701,0.42%
06-Dec-22,53760,53561,53935,53513,0.36%
05-Dec-22,53566,54348,54348,53217,0.57%
02-Dec-22,53265,53337,53458,53184,0.05%
01-Dec-22,53238,52838,53462,52819,1.44%
30-Nov-22,52480,52509,52710,52380,0.33%
29-Nov-22,52308,52247,52595,52247,0.26%
28-Nov-22,52173,52421,52696,52141,-0.71%
25-Nov-22,52544,52665,52750,52405,-0.24%
24-Nov-22,52671,52500,52748,52500,0.42%
23-Nov-22,52451,52349,52475,52068,0.31%
22-Nov-22,52289,52475,52495,52237,-0.01%
21-Nov-22,52292,52508,52590,52136,-0.56%
18-Nov-22,52588,52843,52990,52547,-0.48%
17-Nov-22,52843,52950,52993,52777,-0.41%
16-Nov-22,53062,52992,53200,52942,0.60%
15-Nov-22,52745,52743,53051,52675,0.05%
14-Nov-22,52718,52318,52786,52300,0.73%
11-Nov-22,52334,52050,52534,52050,0.43%
10-Nov-22,52109,51541,52210,51481,1.17%
09-Nov-22,51506,51450,51725,51315,-0.24%
08-Nov-22,51630,50710,51685,50606,1.38%
07-Nov-22,50927,50862,51060,50831,0.12%
04-Nov-22,50866,50350,50900,50310,1.36%
03-Nov-22,50184,50500,50500,50000,-0.83%
02-Nov-22,50606,50560,50833,50535,0.21%
01-Nov-22,50502,50351,50698,50277,0.36%
31-Oct-22,50322,50266,50447,50161,0.18%
28-Oct-22,50230,50765,50795,50165,-1.00%
27-Oct-22,50737,50715,50875,50576,0.10%
26-Oct-22,50687,50867,50867,50610,0.11%
25-Oct-22,50633,50530,50816,50336,0.10%
24-Oct-22,50580,50700,50700,50517,-0.09%
21-Oct-22,50626,50069,50649,49808,0.96%
20-Oct-22,50143,50100,50410,50065,-0.11%
19-Oct-22,50199,50397,50480,50069,-0.43%
18-Oct-22,50414,50364,50545,50310,-0.12%
17-Oct-22,50473,50382,50747,50334,0.42%
14-Oct-22,50260,50794,50974,50174,-1.23%
13-Oct-22,50884,50891,51160,50400,-0.04%
12-Oct-22,50905,50814,51049,50762,-0.37%
11-Oct-22,51096,50915,51218,50710,0.14%
10-Oct-22,51023,51685,51685,50901,-1.80%
07-Oct-22,51960,51904,52120,51637,-0.02%
06-Oct-22,51972,51836,52093,51790,0.54%
05-Oct-22,51692,51692,51692,51692,1.22%
04-Oct-22,51070,51000,51480,50800,1.80%
03-Oct-22,50165,50250,50250,50130,0.14%
30-Sep-22,50094,49971,50689,49935,0.20%
29-Sep-22,49994,49650,50130,49650,0.49%
28-Sep-22,49750,49160,49890,48980,0.87%
27-Sep-22,49319,49190,49499,49082,0.34%
26-Sep-22,49150,49350,49688,49105,-0.51%
23-Sep-22,49401,50005,50057,49250,-1.20%
22-Sep-22,50000,49314,50175,49314,1.13%
21-Sep-22,49443,49189,49569,49114,0.54%
20-Sep-22,49175,49400,49457,49100,-0.26%
19-Sep-22,49302,49257,49410,49044,-0.16%
16-Sep-22,49380,49220,49504,48951,0.14%
15-Sep-22,49312,49942,49942,49170,-1.41%
14-Sep-22,50018,50069,50148,50000,-0.24%
13-Sep-22,50138,50525,50573,49972,-0.97%
12-Sep-22,50631,50505,50780,50378,0.20%
09-Sep-22,50529,50386,50739,50350,0.34%
08-Sep-22,50356,50470,50743,50201,-0.30%
07-Sep-22,50506,50207,50535,50007,0.45%
06-Sep-22,50281,50555,50693,50230,-0.30%
05-Sep-22,50433,50410,50522,50404,0.13%
02-Sep-22,50368,50050,50587,50050,0.60%
01-Sep-22,50070,50202,50293,49876,-0.68%
31-Aug-22,50414,50500,50661,50333,-0.64%
30-Aug-22,50737,51151,51164,50701,-1.00%
29-Aug-22,51250,51100,51369,50830,0.02%
26-Aug-22,51238,51636,51685,51120,-0.90%
25-Aug-22,51702,51497,51846,51497,0.51%
24-Aug-22,51439,51350,51569,51290,0.04%
23-Aug-22,51417,51211,51520,51051,0.50%
22-Aug-22,51163,51409,51409,50971,-0.61%
19-Aug-22,51479,51524,51671,51435,-0.24%
18-Aug-22,51603,51644,51870,51565,0.12%
17-Aug-22,51543,51843,51965,51470,-0.57%
16-Aug-22,51837,52265,52265,51770,-1.42%
12-Aug-22,52585,52382,52610,52263,0.48%
11-Aug-22,52336,52144,52520,52014,0.18%
10-Aug-22,52241,52450,52620,52207,-0.47%
09-Aug-22,52489,52350,52600,52279,0.38%
08-Aug-22,52288,51793,52333,51793,-0.02%
05-Aug-22,52301,52201,52401,52201,0.56%
04-Aug-22,52009,51651,53113,51550,0.61%
03-Aug-22,51694,51300,52450,51171,0.75%
02-Aug-22,51310,51563,51584,51135,0.09%
01-Aug-22,51263,51250,51489,51115,-0.32%
29-Jul-22,51426,51490,51501,51159,0.24%
28-Jul-22,51304,50760,51391,50760,1.15%
27-Jul-22,50720,50568,50753,50505,0.27%
26-Jul-22,50584,50598,50705,50465,0.09%
25-Jul-22,50536,50673,50793,50446,-0.21%
22-Jul-22,50644,50385,50870,50315,0.53%
21-Jul-22,50375,50000,50480,49703,0.30%
20-Jul-22,50225,50275,50465,50191,-0.19%
19-Jul-22,50320,50300,50489,50211,-0.08%
18-Jul-22,50361,50150,50620,50150,0.51%
15-Jul-22,50107,50262,50280,49957,-0.24%
14-Jul-22,50228,50725,50729,50067,-1.13%
13-Jul-22,50802,50431,50946,50160,0.68%
12-Jul-22,50457,50680,50794,50438,-0.37%
11-Jul-22,50644,50709,50869,50616,-0.27%
08-Jul-22,50779,50670,50973,50366,0.31%
07-Jul-22,50621,50661,50830,50562,0.24%
06-Jul-22,50500,51382,51520,50450,-1.56%
05-Jul-22,51302,52199,52279,51250,-1.57%
04-Jul-22,52122,52050,52300,52000,0.39%
01-Jul-22,51917,51000,52032,50727,2.77%
30-Jun-22,50517,50740,50991,50433,-0.42%
29-Jun-22,50729,50779,51146,50640,-0.18%
28-Jun-22,50822,50604,50960,50604,0.34%
27-Jun-22,50649,50730,50980,50575,0.05%
24-Jun-22,50623,50549,50741,50410,0.06%
23-Jun-22,50594,50800,51060,50560,-0.61%
22-Jun-22,50904,50691,51146,50522,0.28%
21-Jun-22,50760,50827,50950,50650,0.05%
20-Jun-22,50735,50985,50985,50713,-0.19%
17-Jun-22,50834,50977,51179,50815,-0.30%
16-Jun-22,50986,50650,51092,50295,1.09%
15-Jun-22,50438,50261,50861,50211,0.48%
14-Jun-22,50195,50537,50667,50151,-0.93%
13-Jun-22,50664,51530,51660,50551,-2.01%
10-Jun-22,51701,50900,51797,50420,1.36%
09-Jun-22,51005,51046,51135,50805,-0.09%
08-Jun-22,51051,50900,51155,50851,0.16%
07-Jun-22,50968,50787,51070,50681,0.19%
06-Jun-22,50870,51126,51133,50815,-0.85%
03-Jun-22,51306,51306,51306,51306,0.10%
02-Jun-22,51255,50928,51359,50928,0.92%
01-Jun-22,50788,50654,50903,50462,-0.13%
31-May-22,50855,50959,51180,50800,-0.12%
30-May-22,50915,50974,51112,50901,0.00%
27-May-22,50913,50952,51066,50850,0.08%
26-May-22,50871,50840,50920,50580,0.10%
25-May-22,50819,51109,51132,50705,-0.66%
24-May-22,51157,50940,51246,50880,0.49%
23-May-22,50907,50897,51156,50808,0.15%
20-May-22,50829,50471,50860,50471,0.56%
19-May-22,50544,50280,50760,50058,0.65%
18-May-22,50218,50120,50366,49863,0.09%
17-May-22,50173,50399,50580,50130,-0.15%
16-May-22,50248,49930,50297,49572,0.75%
13-May-22,49873,50067,50249,49670,-0.60%
12-May-22,50174,50939,50946,50140,-1.28%
11-May-22,50822,50449,50888,50322,0.47%
10-May-22,50586,50971,51118,50511,-0.73%
09-May-22,50959,51259,51386,50901,-0.75%
06-May-22,51343,50936,51538,50905,0.87%
05-May-22,50899,50921,51557,50853,0.57%
04-May-22,50610,50675,50830,50502,-0.39%
03-May-22,50808,50555,50992,50515,0.29%
02-May-22,50659,51270,51322,50481,-2.12%
29-Apr-22,51754,51499,51879,51499,0.96%
28-Apr-22,51262,51089,51335,50828,0.12%
27-Apr-22,51199,51545,51636,51082,-0.75%
26-Apr-22,51584,51460,51769,51410,0.37%
25-Apr-22,51393,52033,52115,51300,-1.66%
22-Apr-22,52261,52529,52662,52104,-0.29%
21-Apr-22,52413,52628,52649,52144,-0.41%
20-Apr-22,52628,52562,52650,52310,-0.23%
19-Apr-22,52749,53248,53416,52660,-0.98%
18-Apr-22,53272,53470,53663,53218,0.53%
14-Apr-22,52992,53010,53110,52700,-0.17%
13-Apr-22,53081,52850,53150,52807,0.38%
12-Apr-22,52878,52375,53000,52375,1.34%
11-Apr-22,52179,52126,52740,52021,0.21%
08-Apr-22,52071,51734,52197,51681,0.34%
07-Apr-22,51897,51611,51982,51550,0.58%
06-Apr-22,51596,51398,51837,51320,0.36%
05-Apr-22,51413,51304,51670,51160,0.29%
04-Apr-22,51266,51224,51350,51200,-0.15%
01-Apr-22,51344,51480,51551,51275,-0.47%
31-Mar-22,51585,50906,51718,50906,1.24%
30-Mar-22,50953,50979,51263,50811,0.28%
29-Mar-22,50813,51342,51383,50354,-1.47%
28-Mar-22,51571,51721,51784,51370,-0.59%
25-Mar-22,51876,52075,52100,51762,-0.39%
24-Mar-22,52078,51702,52155,51648,0.60%
23-Mar-22,51767,51365,51800,51224,0.76%
22-Mar-22,51379,51770,51949,51150,-0.53%
21-Mar-22,51655,51430,51890,51350,0.40%
18-Mar-22,51447,51650,51713,51360,-0.39%
17-Mar-22,51647,51678,51837,51366,0.98%
16-Mar-22,51147,51346,51519,51028,-0.81%
15-Mar-22,51564,52001,52080,51220,-1.41%
14-Mar-22,52304,52623,52786,52125,-1.09%
11-Mar-22,52878,53089,53203,52240,-0.68%
10-Mar-22,53239,52601,53488,52437,0.94%
09-Mar-22,52745,54917,55190,52626,-2.73%
08-Mar-22,54224,53639,55558,53356,1.32%
07-Mar-22,53517,53266,54010,52813,1.82%
04-Mar-22,52559,51902,52601,51800,1.52%
03-Mar-22,51770,51562,51951,51391,0.93%
02-Mar-22,51294,51700,52070,51192,-1.01%
01-Mar-22,51816,51200,51876,51159,2.08%
28-Feb-22,50760,50880,51211,50505,1.07%
25-Feb-22,50221,51180,51180,50040,-2.56%
24-Feb-22,51543,50800,52797,50800,2.31%
23-Feb-22,50379,50389,50414,49951,0.10%
22-Feb-22,50328,50447,50687,50057,0.50%
21-Feb-22,50078,50071,50139,49764,-0.07%
18-Feb-22,50112,50177,50274,49829,-0.56%
17-Feb-22,50392,49577,50438,49557,1.56%
16-Feb-22,49618,49394,49660,49249,0.47%
15-Feb-22,49385,50151,50325,49230,-1.06%
14-Feb-22,49916,49450,50011,49443,1.63%
11-Feb-22,49114,48750,49134,48643,0.32%
10-Feb-22,48955,48694,48990,48551,0.61%
09-Feb-22,48660,48420,48715,48403,0.48%
08-Feb-22,48429,48270,48474,48174,0.42%
07-Feb-22,48228,48011,48247,47995,0.68%
04-Feb-22,47904,47000,48025,47000,0.11%
03-Feb-22,47849,48099,48099,47517,-0.15%
02-Feb-22,47922,47850,48046,47692,-0.09%
01-Feb-22,47965,47736,48099,47581,0.59%
31-Jan-22,47686,47590,47802,47499,0.16%
28-Jan-22,47611,47950,48000,47479,-0.62%
27-Jan-22,47910,48550,48550,47853,-1.93%
25-Jan-22,48851,48608,48912,48540,0.59%
24-Jan-22,48564,48323,48600,48300,0.65%
21-Jan-22,48249,48390,48523,48153,-0.27%
20-Jan-22,48380,48379,48557,48310,0.01%
19-Jan-22,48377,47949,48416,47911,0.94%
18-Jan-22,47926,47950,48047,47780,0.02%
17-Jan-22,47917,47835,47965,47803,0.29%
14-Jan-22,47778,47841,47993,47756,0.09%
13-Jan-22,47736,47804,47917,47650,-0.15%
12-Jan-22,47808,47682,47843,47628,0.25%
11-Jan-22,47689,47589,47700,47460,0.49%
10-Jan-22,47455,47394,47499,47301,0.01%
07-Jan-22,47452,47370,47586,47300,0.00%
06-Jan-22,47451,47768,47865,47400,-1.19%
05-Jan-22,48021,47982,48169,47851,0.15%
04-Jan-22,47949,47810,47997,47740,0.49%
03-Jan-22,47716,48050,48130,47691,-0.80%
31-Dec-21,48099,47946,48134,47795,0.45%
30-Dec-21,47885,47800,47899,47579,0.10%
29-Dec-21,47839,48002,48012,47577,-0.42%
28-Dec-21,48042,48300,48328,48002,-0.05%
27-Dec-21,48066,48119,48248,48050,-0.11%
24-Dec-21,48119,48185,48263,48066,-0.07%
23-Dec-21,48152,48268,48340,48035,-0.10%
22-Dec-21,48199,48115,48220,47975,0.27%
21-Dec-21,48067,48151,48298,47991,-0.36%
20-Dec-21,48240,48594,48643,48211,-0.73%
17-Dec-21,48594,48700,48785,48510,-0.11%
16-Dec-21,48646,48296,48677,48276,1.16%
15-Dec-21,48087,48039,48240,47950,0.03%
14-Dec-21,48072,48264,48361,47925,-0.48%
13-Dec-21,48303,48213,48348,48131,0.29%
10-Dec-21,48164,47981,48260,47862,0.47%
09-Dec-21,47939,48035,48160,47869,-0.24%
08-Dec-21,48055,48150,48300,47956,-0.01%
07-Dec-21,48060,47907,48168,47790,0.30%
06-Dec-21,47914,47953,48039,47830,1.61%
03-Dec-21,47153,47192,47271,46388,-0.13%
02-Dec-21,47214,47214,47214,47214,-0.77%
01-Dec-21,47578,47550,47783,47470,-0.06%
30-Nov-21,47606,47570,48128,47436,0.04%
29-Nov-21,47587,47700,47980,47530,0.00%
26-Nov-21,47585,47615,48223,47535,0.35%
25-Nov-21,47421,47545,47592,47310,-0.04%
24-Nov-21,47438,47569,47674,47253,0.01%
23-Nov-21,47434,47946,48031,47361,-1.02%
22-Nov-21,47923,48794,48875,47882,-1.85%
19-Nov-21,48828,49116,49308,48710,-0.47%
18-Nov-21,49059,49199,49273,48986,-0.47%
17-Nov-21,49292,49068,49333,48985,0.52%
16-Nov-21,49038,49340,49610,49010,-0.53%
15-Nov-21,49298,49170,49475,49092,-0.03%
12-Nov-21,49314,49104,49346,48875,0.20%
11-Nov-21,49216,48941,49380,48911,0.74%
10-Nov-21,48854,48248,49280,48168,1.17%
09-Nov-21,48287,48015,48311,47976,0.56%
08-Nov-21,48018,48000,48174,47815,0.10%
05-Nov-21,47972,47519,48014,47294,0.88%
04-Nov-21,47553,47300,47590,47300,1.18%
03-Nov-21,47000,47584,47584,46872,-1.31%
02-Nov-21,47622,47835,47885,47594,-0.59%
01-Nov-21,47903,47615,47951,47590,0.56%
29-Oct-21,47635,47836,47944,47382,-0.68%
28-Oct-21,47961,48013,48229,47746,0.00%
27-Oct-21,47962,47761,48019,47620,0.31%
26-Oct-21,47813,48147,48280,47584,-0.80%
25-Oct-21,48200,47900,48299,47855,0.84%
22-Oct-21,47797,47555,48242,47482,0.83%
21-Oct-21,47404,47529,47596,47340,-0.20%
20-Oct-21,47499,47355,47576,47261,0.46%
19-Oct-21,47280,47410,47645,47231,-0.02%
18-Oct-21,47291,47220,47437,47169,0.17%
15-Oct-21,47213,47602,47677,47120,-1.40%
14-Oct-21,47882,47808,48100,47783,-0.07%
13-Oct-21,47916,47215,47999,47131,1.52%
12-Oct-21,47198,47099,47420,47036,0.31%
11-Oct-21,47051,46950,47188,46864,0.03%
08-Oct-21,47037,46861,47370,46854,0.45%
07-Oct-21,46827,46851,46990,46687,-0.17%
06-Oct-21,46907,46674,46990,46512,0.98%
05-Oct-21,46450,46535,46535,46354,0.35%
04-Oct-21,46286,46533,46963,46341,0.00%
01-Oct-21,46286,46295,46332,46155,-0.08%
30-Sep-21,46323,45650,46436,45479,1.62%
29-Sep-21,45585,45963,45980,45511,-0.58%
28-Sep-21,45853,46071,46071,45688,-0.47%
27-Sep-21,46069,46036,46220,45902,0.16%
24-Sep-21,45995,46075,46132,45787,-0.13%
23-Sep-21,46056,46439,46534,45940,-1.32%
22-Sep-21,46672,46651,46762,46556,0.07%
21-Sep-21,46638,46210,46799,46130,0.78%
20-Sep-21,46278,45930,46375,45880,0.63%
17-Sep-21,45986,46100,46239,45853,-0.20%
16-Sep-21,46076,46880,46917,45812,-1.75%
15-Sep-21,46896,47185,47264,46868,-0.77%
14-Sep-21,47260,46868,47320,46620,0.75%
13-Sep-21,46908,46927,47043,46766,0.22%
10-Sep-21,46806,46900,46986,46751,-0.40%
09-Sep-21,46994,46938,47082,46713,-0.09%
08-Sep-21,47038,46961,47140,46750,0.21%
07-Sep-21,46939,47402,47435,46864,-1.02%
06-Sep-21,47425,47433,47497,47365,-0.21%
03-Sep-21,47524,47095,47598,47035,1.13%
02-Sep-21,46991,47049,47208,46900,-0.16%
01-Sep-21,47068,47129,47276,46980,-0.11%
31-Aug-21,47120,47299,47332,46776,-0.09%
30-Aug-21,47164,47438,47494,47145,-0.79%
27-Aug-21,47538,47300,47582,46820,0.64%
26-Aug-21,47237,47181,47380,46934,0.12%
25-Aug-21,47179,47435,47482,47080,-0.91%
24-Aug-21,47612,47515,47731,47472,0.06%
23-Aug-21,47584,47215,47625,47149,0.90%
20-Aug-21,47158,47250,47377,47065,-0.02%
19-Aug-21,47169,47211,47850,47073,0.08%
18-Aug-21,47132,47374,47437,47026,-0.31%
17-Aug-21,47280,47235,47549,47183,0.12%
16-Aug-21,47225,46950,47280,46816,0.61%
13-Aug-21,46940,46452,46996,46416,1.24%
12-Aug-21,46363,46300,46581,46151,-0.05%
11-Aug-21,46388,46011,46446,45925,0.93%
10-Aug-21,45962,46000,46112,45662,0.17%
09-Aug-21,45886,46311,46386,45815,-1.62%
06-Aug-21,46640,47500,47574,46556,-3.74%
05-Aug-21,48450,48450,48450,48450,0.70%
04-Aug-21,48111,47770,48299,47770,0.61%
03-Aug-21,47817,47900,48049,47760,-0.47%
02-Aug-21,48045,47780,48130,47725,0.42%
30-Jul-21,47846,48281,48304,47751,-0.90%
29-Jul-21,48281,47720,48310,47690,1.48%
28-Jul-21,47577,47610,47689,47470,0.01%
27-Jul-21,47573,47446,47642,47367,0.24%
26-Jul-21,47461,47647,47784,47420,-0.15%
23-Jul-21,47534,47575,47720,47300,-0.21%
22-Jul-21,47634,47500,47690,47301,0.13%
21-Jul-21,47573,47750,47750,47500,-0.63%
20-Jul-21,47876,48240,48295,47771,-0.45%
19-Jul-21,48094,48083,48236,47780,0.09%
16-Jul-21,48053,48378,48389,47975,-0.72%
15-Jul-21,48400,48270,48501,48160,0.21%
14-Jul-21,48299,47982,48369,47930,0.86%
13-Jul-21,47889,47875,48071,47715,0.24%
12-Jul-21,47774,47807,47870,47477,-0.31%
09-Jul-21,47923,47844,47948,47621,0.42%
08-Jul-21,47721,47759,48290,47601,-0.39%
07-Jul-21,47910,47761,47999,47655,0.47%
06-Jul-21,47684,47350,48000,47350,0.81%
05-Jul-21,47299,47349,47425,47250,0.03%
02-Jul-21,47285,47139,47515,47139,0.52%
01-Jul-21,47039,46930,47210,46903,0.43%
30-Jun-21,46839,46594,46933,46461,0.61%
29-Jun-21,46555,46880,46970,46330,-0.96%
28-Jun-21,47008,46965,47118,46865,0.18%
25-Jun-21,46925,46948,47213,46835,0.12%
24-Jun-21,46870,46950,47159,46811,-0.43%
23-Jun-21,47072,47093,47318,46962,0.13%
22-Jun-21,47011,47178,47247,46869,-0.13%
21-Jun-21,47074,46900,47155,46633,0.74%
18-Jun-21,46728,47147,47387,46668,-0.49%
17-Jun-21,46958,48250,48250,46744,-3.19%
16-Jun-21,48506,48458,48565,48367,0.17%
15-Jun-21,48424,48509,48732,48348,-0.20%
14-Jun-21,48523,48750,48750,48105,-0.78%
11-Jun-21,48903,49283,49399,48865,-0.60%
10-Jun-21,49198,49018,49263,48675,0.15%
09-Jun-21,49124,49150,49269,49024,-0.01%
08-Jun-21,49127,49146,49350,48932,-0.03%
07-Jun-21,49143,48947,49175,48782,1.12%
04-Jun-21,48600,48600,48600,48600,-0.80%
03-Jun-21,48990,49163,49670,48570,-0.33%
02-Jun-21,49154,49100,49220,49075,0.32%
01-Jun-21,48995,49049,49225,48710,0.36%
